Skill,Count
analysis,92
python,87
sql,83
data visualization,68
research,57
data analysis,56
communication,51
excel,50
power bi,45
tableau,38
etl,35
aws,27
statistics,27
big data,22
r,21
azure,20
spark,19
pandas,18
airflow,18
gcp,17
snowflake,15
tensorflow,13
numpy,13
dashboarding,12
leadership,12
pytorch,10
nlp,10
llm,10
java,8
dbt,8
business analysis,8
presentation,8
hadoop,7
databricks,7
matplotlib,6
mongodb,6
stakeholder management,6
kpi,5
artificial intelligence,5
data preprocessing,5
seaborn,4
postgresql,4
oracle,4
mysql,3
market research,3
scala,3
computer vision,3
ggplot2,1
